2022-07-13T14:26:22
ID	Read	R1_Forward	R1_Reverse	R2_Forward	R2_Reverse	R1_Penalty	R2_Penalty
ERR2061612.325689 7001289F:103:C9WFLANXX:4:1305:13540:98156/2	R2	-	-	-	+	-	0.000000
ERR2061612.325699 7001289F:103:C9WFLANXX:3:1104:12365:2527/1	R1	-	+	-	-	0.580645	-
ERR2061612.325728 7001289F:103:C9WFLANXX:4:1108:11804:65539/1	R1	-	+	-	-	0.764706	-
ERR2061612.325733 7001289F:103:C9WFLANXX:4:2302:12532:63080/1	R1	-	+	-	-	0.764706	-
ERR2061612.403476 7001289F:103:C9WFLANXX:4:1101:20350:60413/2	R2	-	-	-	+	-	0.777778
ERR2061612.404070 7001289F:103:C9WFLANXX:4:2302:8700:82672/1	R1	-	+	-	-	0.526316	-
ERR2061612.434040 7001289F:103:C9WFLANXX:4:1108:7201:79947/2	R2	-	-	-	+	-	0.950000
ERR2061612.434665 7001289F:103:C9WFLANXX:3:1315:4013:22057/2	R2	-	-	-	+	-	0.904762
ERR2061612.1315500 7001289F:103:C9WFLANXX:3:1103:14428:11610/1	R1	-	+	-	-	0.777778	-
ERR2061612.2761101 7001289F:103:C9WFLANXX:3:1105:10557:68100/2	R2	-	-	+	-	-	0.767442
ERR2061612.3345688 7001289F:103:C9WFLANXX:3:1108:16923:90452/1	R1	-	+	-	-	0.000000	-
ERR2061612.3593608 7001289F:103:C9WFLANXX:3:2102:4431:69016/2	R2	-	-	-	+	-	0.329545
ERR2061612.3623952 7001289F:103:C9WFLANXX:4:1313:8636:71376/1	R1	-	+	-	-	0.666667	-
ERR2061612.3624195 7001289F:103:C9WFLANXX:3:2103:7009:89007/1	R1	-	+	-	-	0.526316	-
ERR2061612.3730795 7001289F:103:C9WFLANXX:4:2314:18412:10442/2	R2	-	-	+	-	-	0.719626
ERR2061612.3730796 7001289F:103:C9WFLANXX:4:2109:7362:42930/1	R1	+	-	-	-	0.595745	-
ERR2061612.3730797 7001289F:103:C9WFLANXX:3:2111:13910:33998/1	R1	+	-	-	-	0.446429	-
ERR2061612.3730798 7001289F:103:C9WFLANXX:4:2214:9951:73989/2	R2	-	-	+	-	-	0.446429
ERR2061612.3730799 7001289F:103:C9WFLANXX:4:1210:18485:21376/1	R1	+	-	-	-	0.446429	-
ERR2061612.3730800 7001289F:103:C9WFLANXX:4:1316:17031:51441/1	R1	+	-	-	-	0.446429	-
ERR2061612.3730801 7001289F:103:C9WFLANXX:4:1213:1396:96247/1	R1	+	-	-	-	0.446429	-
ERR2061612.3730802 7001289F:103:C9WFLANXX:4:1111:5760:51116/2	R2	-	-	+	-	-	0.446429
ERR2061612.3730803 7001289F:103:C9WFLANXX:4:1116:5967:47614/1	R1	+	-	-	-	0.741071	-
ERR2061612.3730804 7001289F:103:C9WFLANXX:4:1107:19239:7427/2	R2	-	-	+	-	-	0.475000
ERR2061612.3730805 7001289F:103:C9WFLANXX:3:2315:19505:38587/1	R1	+	-	-	-	0.433628	-
ERR2061612.3730806 7001289F:103:C9WFLANXX:3:2214:7749:48343/1	R1	+	-	-	-	0.000000	-
ERR2061612.3730807 7001289F:103:C9WFLANXX:3:2215:3956:69734/2	R2	-	-	+	-	-	0.433628
ERR2061612.3730808 7001289F:103:C9WFLANXX:3:2304:14942:90825/1	R1	+	-	-	-	0.433628	-
ERR2061612.3730809 7001289F:103:C9WFLANXX:3:1214:1616:60808/2	R2	-	-	+	-	-	0.000000
ERR2061612.3730810 7001289F:103:C9WFLANXX:3:1201:15329:21928/1	R1	+	-	-	-	0.446429	-
ERR2061612.3730811 7001289F:103:C9WFLANXX:3:1115:20060:78904/2	R2	-	-	+	-	-	0.433628
ERR2061612.3730812 7001289F:103:C9WFLANXX:4:2310:20303:98108/2	R2	-	-	+	-	-	0.433628
ERR2061612.3730813 7001289F:103:C9WFLANXX:4:2316:8034:72799/1	R1	+	-	-	-	0.560000	-
ERR2061612.3730814 7001289F:103:C9WFLANXX:4:2312:10818:82374/2	R2	-	-	+	-	-	0.433628
ERR2061612.3730815 7001289F:103:C9WFLANXX:4:2111:20737:61243/1	R1	+	-	-	-	0.433628	-
ERR2061612.3730816 7001289F:103:C9WFLANXX:4:2109:3116:58499/2	R2	-	-	+	-	-	0.446429
ERR2061612.3730817 7001289F:103:C9WFLANXX:4:2204:1965:60729/2	R2	-	-	+	-	-	0.433628
ERR2061612.3730818 7001289F:103:C9WFLANXX:4:2105:20029:21226/2	R2	-	-	+	-	-	0.433628
ERR2061612.3730819 7001289F:103:C9WFLANXX:4:1201:2296:89729/2	R2	-	-	+	-	-	0.433628
ERR2061612.3730820 7001289F:103:C9WFLANXX:4:1212:17992:54328/2	R2	-	-	+	-	-	0.446429
ERR2061612.3730821 7001289F:103:C9WFLANXX:4:1208:11917:58131/2	R2	-	-	+	-	-	0.302752
ERR2061612.3730822 7001289F:103:C9WFLANXX:3:2302:19917:18924/2	R2	-	-	+	-	-	0.567164
ERR2061612.3730823 7001289F:103:C9WFLANXX:3:2103:6460:35758/1	R1	+	-	-	-	0.000000	-
ERR2061612.3730824 7001289F:103:C9WFLANXX:3:1313:15536:36508/2	R2	-	-	+	-	-	0.457944
ERR2061612.3730825 7001289F:103:C9WFLANXX:3:1209:7944:80762/2	R2	-	-	+	-	-	0.457944
ERR2061612.3730826 7001289F:103:C9WFLANXX:3:1304:20783:69639/2	R2	-	-	+	-	-	0.000000
ERR2061612.3730827 7001289F:103:C9WFLANXX:3:1109:12391:89828/1	R1	+	-	-	-	0.457944	-
ERR2061612.3730828 7001289F:103:C9WFLANXX:4:2316:13139:52028/2	R2	-	-	+	-	-	0.000000
ERR2061612.3730829 7001289F:103:C9WFLANXX:4:2116:14237:58306/1	R1	+	-	-	-	0.457944	-
ERR2061612.3730830 7001289F:103:C9WFLANXX:4:1309:20390:54966/1	R1	+	-	-	-	0.457944	-
ERR2061612.3730831 7001289F:103:C9WFLANXX:3:2106:17244:18289/1	R1	+	-	-	+	0.345455	0.000000
ERR2061612.3730832 7001289F:103:C9WFLANXX:3:1309:14469:88531/2	R2	-	-	+	-	-	0.345455
ERR2061612.3730833 7001289F:103:C9WFLANXX:3:1213:12547:4440/2	R2	-	-	+	-	-	0.000000
ERR2061612.3730834 7001289F:103:C9WFLANXX:3:1216:16316:33653/2	R2	-	-	+	-	-	0.759259
ERR2061612.3730835 7001289F:103:C9WFLANXX:3:1204:14240:56013/1	R1	+	-	-	-	0.000000	-
ERR2061612.3730836 7001289F:103:C9WFLANXX:4:2216:8022:4097/2	R2	-	-	+	-	-	0.000000
