2024-12-30T16:16:42
ID	Read	R1_Forward	R1_Reverse	R2_Forward	R2_Reverse	R1_Penalty	R2_Penalty
ERR2188723.1160724 7001289F:119:HH7GHBCXY:2:2104:2048:41433/1	R1	-	+	-	+	0.526316	0.526316
ERR2188723.2115768 7001289F:119:HH7GHBCXY:1:2108:15481:62154/1	R1	-	+	-	+	0.736842	0.736842
ERR2188723.2226264 7001289F:119:HH7GHBCXY:2:2105:20049:12961/1	R1	-	+	-	+	0.684211	0.684211
ERR2188723.3173315 7001289F:119:HH7GHBCXY:2:2109:6372:80572/1	R1	-	+	-	+	0.666667	0.666667
ERR2188723.3264793 7001289F:119:HH7GHBCXY:2:1215:14830:45419/1	R1	+	-	+	-	0.000000	0.000000
ERR2188723.3264795 7001289F:119:HH7GHBCXY:1:2201:18915:15582/1	R1	+	-	+	-	0.390909	0.390909
ERR2188723.3264796 7001289F:119:HH7GHBCXY:1:2206:2880:43733/1	R1	+	-	+	-	0.558824	0.558824
ERR2188723.3264797 7001289F:119:HH7GHBCXY:2:1101:19457:19314/1	R1	+	-	+	-	0.500000	0.500000
ERR2188723.3264798 7001289F:119:HH7GHBCXY:2:1204:17273:87192/1	R1	+	-	+	-	0.413043	0.413043
ERR2188723.3264799 7001289F:119:HH7GHBCXY:2:1215:8584:19073/1	R1	+	-	+	-	0.504673	0.504673
ERR2188723.3264803 7001289F:119:HH7GHBCXY:2:2201:12226:98693/1	R1	+	-	+	-	0.514019	0.514019
ERR2188723.3264805 7001289F:119:HH7GHBCXY:1:1201:12311:44233/1	R1	+	-	+	-	0.345455	0.345455
ERR2188723.3264806 7001289F:119:HH7GHBCXY:1:1215:9369:17782/1	R1	+	-	+	-	0.585106	0.585106
ERR2188723.3264807 7001289F:119:HH7GHBCXY:1:2102:6892:69578/1	R1	+	-	+	-	0.446429	0.446429
ERR2188723.3264809 7001289F:119:HH7GHBCXY:1:1205:11827:55906/1	R1	+	-	+	-	0.345455	0.345455
ERR2188723.3264813 7001289F:119:HH7GHBCXY:1:2214:18353:8892/1	R1	+	-	+	-	0.433628	0.433628
ERR2188723.3264814 7001289F:119:HH7GHBCXY:1:2216:2419:55972/1	R1	+	-	+	-	0.620000	0.620000
ERR2188723.3264818 7001289F:119:HH7GHBCXY:1:1107:7629:38399/1	R1	+	-	+	-	0.759259	0.759259
ERR2188723.3264822 7001289F:119:HH7GHBCXY:1:2211:8064:34902/1	R1	+	-	+	-	0.000000	0.000000
ERR2188723.3264823 7001289F:119:HH7GHBCXY:2:1112:8476:44650/1	R1	+	-	+	-	0.759259	0.759259
ERR2188723.3264824 7001289F:119:HH7GHBCXY:2:1114:19480:30861/1	R1	+	-	+	-	0.320388	0.320388
ERR2188723.3264825 7001289F:119:HH7GHBCXY:2:1210:8231:99529/1	R1	+	-	+	-	0.457944	0.457944
ERR2188723.3264826 7001289F:119:HH7GHBCXY:2:2202:1210:69087/1	R1	+	-	+	-	0.570093	0.570093
ERR2188723.3264827 7001289F:119:HH7GHBCXY:1:1114:8430:10770/1	R1	+	-	+	-	0.302752	0.302752
ERR2188723.3264828 7001289F:119:HH7GHBCXY:1:2114:7141:4398/1	R1	+	-	+	-	0.302752	0.302752
ERR2188723.3264829 7001289F:119:HH7GHBCXY:2:2111:19096:41728/1	R1	+	-	+	-	0.550562	0.550562
ERR2188723.3264830 7001289F:119:HH7GHBCXY:2:2115:15642:86733/1	R1	+	-	+	-	0.302752	0.302752
ERR2188723.3264831 7001289F:119:HH7GHBCXY:2:2203:12421:66226/1	R1	+	-	+	-	0.302752	0.302752
ERR2188723.3264832 7001289F:119:HH7GHBCXY:2:2204:16683:57875/1	R1	+	-	+	-	0.302752	0.302752
ERR2188723.3264834 7001289F:119:HH7GHBCXY:1:1105:9052:44950/1	R1	+	-	+	-	0.302752	0.302752
ERR2188723.3264835 7001289F:119:HH7GHBCXY:1:1109:8435:9052/1	R1	+	-	+	-	0.345455	0.345455
ERR2188723.3264838 7001289F:119:HH7GHBCXY:1:2104:16460:76656/1	R1	+	-	+	-	0.345455	0.345455
ERR2188723.3264839 7001289F:119:HH7GHBCXY:1:2214:1924:23010/1	R1	+	-	+	-	0.000000	0.000000
ERR2188723.3264841 7001289F:119:HH7GHBCXY:2:1203:5411:72827/1	R1	+	-	+	-	0.345455	0.345455
ERR2188723.3264845 7001289F:119:HH7GHBCXY:2:2112:14560:68332/1	R1	+	-	+	-	0.000000	0.000000
ERR2188723.3264847 7001289F:119:HH7GHBCXY:2:2211:16298:42999/1	R1	-	+	-	+	0.000000	0.000000
ERR2188723.3264853 7001289F:119:HH7GHBCXY:1:2201:12867:83909/1	R1	+	-	+	-	0.000000	0.000000
ERR2188723.3264862 7001289F:119:HH7GHBCXY:2:1214:19245:74524/1	R1	+	-	+	-	0.000000	0.000000
ERR2188723.3264864 7001289F:119:HH7GHBCXY:2:2216:3379:4540/1	R1	+	-	+	-	0.000000	0.000000
ERR2188723.3264865 7001289F:119:HH7GHBCXY:2:2213:5211:78004/1	R1	+	-	+	-	0.477876	0.477876
ERR2188723.3264866 7001289F:119:HH7GHBCXY:2:1205:15829:13030/1	R1	-	+	-	+	0.047619	0.047619
ERR2188723.3264867 7001289F:119:HH7GHBCXY:1:1206:18503:84054/1	R1	+	-	+	-	0.553571	0.553571
ERR2188723.3264868 7001289F:119:HH7GHBCXY:2:1203:6801:54082/1	R1	-	+	-	+	0.000000	0.000000
ERR2188723.3264871 7001289F:119:HH7GHBCXY:2:1204:8763:55451/1	R1	-	+	-	+	0.000000	0.000000
ERR2188723.3264873 7001289F:119:HH7GHBCXY:2:1202:18704:64167/1	R1	+	-	+	-	0.320388	0.320388
ERR2188723.3264875 7001289F:119:HH7GHBCXY:1:1202:13858:20901/1	R1	+	-	+	-	0.345455	0.345455
ERR2188723.3264876 7001289F:119:HH7GHBCXY:1:1212:15393:62157/1	R1	+	-	+	-	0.345455	0.345455
ERR2188723.3264878 7001289F:119:HH7GHBCXY:1:2210:4926:8431/1	R1	+	-	+	-	0.454545	0.454545
ERR2188723.3264879 7001289F:119:HH7GHBCXY:1:2212:12573:94718/1	R1	+	-	+	-	0.639640	0.639640
ERR2188723.3264880 7001289F:119:HH7GHBCXY:2:1110:17389:27977/1	R1	+	-	+	-	0.345455	0.345455
ERR2188723.3264881 7001289F:119:HH7GHBCXY:2:1213:13834:30942/1	R1	+	-	+	-	0.639640	0.639640
ERR2188723.3264883 7001289F:119:HH7GHBCXY:1:2212:12621:89940/1	R1	-	+	-	+	0.000000	0.000000
ERR2188723.3264885 7001289F:119:HH7GHBCXY:2:1107:3242:48158/1	R1	+	-	+	-	0.302752	0.302752
ERR2188723.3264886 7001289F:119:HH7GHBCXY:2:2205:13026:6042/1	R1	+	-	+	-	0.302752	0.302752
ERR2188723.3264888 7001289F:119:HH7GHBCXY:2:1112:5738:37080/1	R1	+	-	+	-	0.302752	0.302752
ERR2188723.3264891 7001289F:119:HH7GHBCXY:1:1203:18452:84898/1	R1	+	-	+	-	0.433628	0.433628
ERR2188723.3264892 7001289F:119:HH7GHBCXY:1:1206:10103:43313/1	R1	+	-	+	-	0.433628	0.433628
ERR2188723.3264893 7001289F:119:HH7GHBCXY:2:1201:9849:38794/1	R1	+	-	+	-	0.433628	0.433628
ERR2188723.3264894 7001289F:119:HH7GHBCXY:2:2209:3442:10166/1	R1	+	-	+	-	0.457944	0.457944
ERR2188723.3264895 7001289F:119:HH7GHBCXY:1:1205:8487:89622/1	R1	+	-	+	-	0.446429	0.446429
ERR2188723.3264896 7001289F:119:HH7GHBCXY:1:1208:19291:47862/1	R1	+	-	+	-	0.471698	0.471698
ERR2188723.3264898 7001289F:119:HH7GHBCXY:2:2102:1323:44026/1	R1	+	-	+	-	0.446429	0.446429
ERR2188723.3264899 7001289F:119:HH7GHBCXY:1:2104:18053:78174/1	R1	-	+	-	+	0.158333	0.158333
